Player;Federation;Opponent;Stage;Matchday;Match Number;Minutes Played;Game Started;Substitute;Goals;Man of the Match;Date of Birth;Boot Brand;Boot Type;Boot Colour;Boot Version;Notes;ID Opta;Opta Position;Squad Number;Match Length;Exact Time
Merino, Mikel;Spain;Croatia;Group Stage;1;3;22;0;1;0;0;1996-06-22;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;195384;Midfielder;6;99;28
Ruiz, Fabián;Spain;Croatia;Group Stage;1;3;90;1;0;1;1;1996-04-03;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;201379;Midfielder;8;99;99
Morata, Álvaro;Spain;Croatia;Group Stage;1;3;67;1;0;1;0;1992-10-23;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;88482;Forward;7;99;70
Zubimendi, Martín;Spain;Croatia;Group Stage;1;3;4;0;1;0;0;1999-02-02;adidas;Copa Pure 2+;Ftwr White/Lucid Blue/Solar Red;New;;481655;Midfielder;18;99;10
Rodri;Spain;Croatia;Group Stage;1;3;86;1;0;0;0;1996-06-22;Nike;Phantom Luna II Elite;Sunset Pulse/Black;New;;220566;Midfielder;16;99;89
Pongracic, Marin;Croatia;Spain;Group Stage;1;3;90;1;0;0;0;1997-09-11;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;421634;Defender;3;99;99
Majer, Lovro;Croatia;Spain;Group Stage;1;3;90;1;0;0;0;1998-01-17;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;229046;Forward;7;99;99
Livakovic, Dominik;Croatia;Spain;Group Stage;1;3;90;1;0;0;0;1995-01-09;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;198534;Goalkeeper;1;99;99
Sucic, Luka;Croatia;Spain;Group Stage;1;3;25;0;1;0;0;2002-09-08;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;464166;Midfielder;25;99;31
Petkovic, Bruno;Croatia;Spain;Group Stage;1;3;18;0;1;0;0;1994-09-16;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;152918;Forward;17;99;24
Mario Pasalic;Croatia;Spain;Group Stage;1;3;25;0;1;0;0;1995-02-09;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;164570;Midfielder;15;99;31
Brozovic, Marcelo;Croatia;Spain;Group Stage;1;3;90;1;0;0;0;1992-11-16;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;94425;Midfielder;11;99;99
Kovacic, Mateo;Croatia;Spain;Group Stage;1;3;65;1;0;0;0;1994-05-06;Puma;King Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;91651;Midfielder;8;99;68
Budimir, Ante;Croatia;Spain;Group Stage;1;3;56;1;0;0;0;1991-07-22;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;94273;Forward;16;99;59
Gvardiol, Josko;Croatia;Spain;Group Stage;1;3;90;1;0;0;0;2002-01-23;adidas;Copa Pure 2+;Shadow Red/White/Team Solar Yellow;New;;477424;Defender;4;99;99
Kramaric, Andrej;Croatia;Spain;Group Stage;1;3;72;1;0;0;0;1991-06-19;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;68582;Forward;9;99;75
Sutalo, Josip;Croatia;Spain;Group Stage;1;3;90;1;0;0;0;2000-02-28;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;240992;Defender;6;99;99
Stanisic, Josip;Croatia;Spain;Group Stage;1;3;90;1;0;0;0;2000-04-02;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;437921;Defender;2;99;99
Modric, Luka;Croatia;Spain;Group Stage;1;3;65;1;0;0;0;1985-09-09;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;37055;Midfielder;10;99;68
Perisic, Ivan;Croatia;Spain;Group Stage;1;3;34;0;1;0;0;1989-02-02;Puma;Future 7 Ultimate;Puma White/Puma Black/Poison Pink;New;;45034;Midfielder;14;99;40
Calafiori, Riccardo;Italy;Albania;Group Stage;1;4;90;1;0;0;0;2002-05-19;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;466075;Defender;5;99;99
Barella, Nicolò;Italy;Albania;Group Stage;1;4;89;1;0;1;0;1997-02-07;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;171384;Midfielder;18;99;95
Scamacca, Gianluca;Italy;Albania;Group Stage;1;4;83;1;0;0;0;1999-01-01;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;195899;Forward;9;99;86
Donnarumma, Gianluigi;Italy;Albania;Group Stage;1;4;90;1;0;0;0;1999-02-25;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;204936;Goalkeeper;1;99;99
Cristante, Bryan;Italy;Albania;Group Stage;1;4;13;0;1;0;0;1995-03-03;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;109511;Midfielder;16;99;19
Chiesa, Federico;Italy;Albania;Group Stage;1;4;77;1;0;0;1;1997-10-25;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;223541;Forward;14;99;80
Pellegrini, Lorenzo;Italy;Albania;Group Stage;1;4;77;1;0;0;0;1996-06-19;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;184441;Forward;10;99;80
Retegui, Mateo;Italy;Albania;Group Stage;1;4;7;0;1;0;0;1999-04-29;adidas;X Crazyfast+;Bright Royal/White/Solar Red;New;;441463;Forward;19;99;14
Cambiaso, Andrea;Italy;Albania;Group Stage;1;4;13;0;1;0;0;2000-02-20;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;515759;Defender;24;99;19
Dimarco, Federico;Italy;Albania;Group Stage;1;4;83;1;0;0;0;1997-11-10;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;161919;Defender;3;99;86
Di Lorenzo, Giovanni;Italy;Albania;Group Stage;1;4;90;1;0;0;0;1993-08-04;Puma;Future Ultimate;Sedate Gray/Asphalt/Yellow Blaze;New;;93661;Defender;2;99;99
Darmian, Matteo;Italy;Albania;Group Stage;1;4;7;0;1;0;0;1989-12-02;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;40002;Defender;13;99;14
Jorginho;Italy;Albania;Group Stage;1;4;90;1;0;0;0;1991-12-20;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;85955;Midfielder;8;99;99
Folorunsho, Michael;Italy;Albania;Group Stage;1;4;1;0;1;0;0;1998-02-07;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;247050;Midfielder;25;99;4
Frattesi, Davide;Italy;Albania;Group Stage;1;4;90;1;0;0;0;1999-09-22;adidas;X Crazyfast+;Solar Red/White/Team Solar Yellow;New;;235453;Midfielder;7;99;99
Bastoni, Alessandro;Italy;Albania;Group Stage;1;4;90;1;0;1;0;1999-04-13;Puma;Future 7 Ultimate;Puma White/Puma Black/Poison Pink;New;;215977;Defender;23;99;99
Mitaj, Mario;Albania;Italy;Group Stage;1;4;90;1;0;0;0;2003-08-06;Nike;Mercurial Vapor XV Elite;Dark Beetroot/Metallic Vivid Gold;New;;474900;Defender;3;99;99
Hoxha, Arbër;Albania;Italy;Group Stage;1;4;22;0;1;0;0;1998-10-06;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;227533;Forward;26;99;28
Asllani, Kristjan;Albania;Italy;Group Stage;1;4;90;1;0;0;0;2002-03-09;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;517997;Midfielder;21;99;99
Seferi, Taulant;Albania;Italy;Group Stage;1;4;68;1;0;0;0;1996-11-15;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;175640;Midfielder;15;99;72
Manaj, Rey;Albania;Italy;Group Stage;1;4;13;0;1;0;0;1997-02-24;Nike;Phantom GX II Elite;White/Black/Metallic Gold Coin;New;;194827;Forward;7;99;19
Djimsiti, Berat;Albania;Italy;Group Stage;1;4;90;1;0;0;0;1993-02-19;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;96645;Defender;6;99;99
Strakosha, Thomas;Albania;Italy;Group Stage;1;4;90;1;0;0;0;1995-03-19;Nike;Mercurial Vapor XV Elite;White/Bright Crimson/Black;New;;140200;Goalkeeper;23;99;99
Ajeti, Arlind;Albania;Italy;Group Stage;1;4;90;1;0;0;0;1993-09-25;Mizuno;Morelia Neo IV;Safety Yellow/Fiery Coral/Safety Yellow;New;;97341;Defender;5;99;99
Ramadani, Ylber;Albania;Italy;Group Stage;1;4;90;1;0;0;0;1996-04-12;adidas;X Crazyfast.1;Bright Royal/White/Solar Red;New;;227386;Midfielder;20;99;99
Hysaj, Elseid;Albania;Italy;Group Stage;1;4;90;1;0;0;0;1994-02-02;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;107363;Defender;4;99;99
Laçi, Qazim;Albania;Italy;Group Stage;1;4;22;0;1;0;0;1996-01-19;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;214282;Midfielder;14;99;28
Asani, Jasir;Albania;Italy;Group Stage;1;4;68;1;0;0;0;1995-05-19;Puma;Ultra Ultimate;Electric Peppermint/Puma White/Fast Yellow;New;;175893;Midfielder;9;99;71
Broja, Armando;Albania;Italy;Group Stage;1;4;77;1;0;0;0;2001-09-10;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;440323;Forward;11;99;80
Muçi, Ernest;Albania;Italy;Group Stage;1;4;3;0;1;0;0;2001-03-19;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;462764;Midfielder;17;99;10
Bajrami, Nedim;Albania;Italy;Group Stage;1;4;87;1;0;1;0;1999-02-28;Nike;Hypervenom Phinish II;Volt/Black/Hyper Turquoise/Clear Jade;Old;;204674;Midfielder;10;99;90
Rajkovic, Predrag;Serbia;England;Group Stage;1;5;90;1;0;0;0;1995-10-31;Puma;Future 7 Ultimate;Puma White/Puma Black/Poison Pink;New;;104407;Goalkeeper;1;97;97
Mladenovic, Filip;Serbia;England;Group Stage;1;5;47;0;1;0;0;1991-08-15;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;94467;Defender;25;97;99
Zivkovic, Andrija;Serbia;England;Group Stage;1;5;74;1;0;0;0;1996-07-11;adidas;X Crazyfast+;Solar Red/White/Team Solar Yellow;New;;164654;Midfielder;14;97;76
Ilic, Ivan;Serbia;England;Group Stage;1;5;45;0;1;0;0;2001-03-17;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;430848;Midfielder;17;97;50
Kostic, Filip;Serbia;England;Group Stage;1;5;43;1;0;0;0;1992-11-01;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;104215;Midfielder;11;97;-2
Sergej Milinkovic-Savic;Serbia;England;Group Stage;1;5;90;1;0;0;0;1995-02-27;Nike;"	Mercurial Superfly IX Elite";Pink Foam/Black;New;;180793;Forward;20;97;97
Jovic, Luka;Serbia;England;Group Stage;1;5;29;0;1;0;0;1997-12-23;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;185533;Forward;8;97;34
Milenkovic, Nikola;Serbia;England;Group Stage;1;5;90;1;0;0;0;1997-10-12;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;227444;Defender;4;97;97
Pavlovic, Strahinja;Serbia;England;Group Stage;1;5;90;1;0;0;0;2001-05-24;Puma;Future 7 Ultimate;Puma White/Puma Black/Poison Pink;New;;487606;Defender;2;97;97
Mitrovic, Aleksandar;Serbia;England;Group Stage;1;5;61;1;0;0;0;1994-09-16;Puma;Ultra Play;Sun Stream/Puma Black/Sunset Glow;New;;128389;Forward;9;97;63
Birmancevic, Veljko;Serbia;England;Group Stage;1;5;16;0;1;0;0;1998-03-05;Nike;Mercurial Vapor XV Elite;Atmosphere Grey/Black;New;;228439;Midfielder;26;97;21
Vlahovic, Dusan;Serbia;England;Group Stage;1;5;90;1;0;0;0;2000-01-28;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;225479;Forward;7;97;97
Tadic, Dusan;Serbia;England;Group Stage;1;5;29;0;1;0;0;1988-11-20;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;62399;Forward;10;97;34
Gudelj, Nemanja;Serbia;England;Group Stage;1;5;45;1;0;0;0;1991-11-16;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;72154;Midfielder;6;97;48
Lukic, Sasa;Serbia;England;Group Stage;1;5;61;1;0;0;0;1996-08-13;Nike;"	Mercurial Superfly IX Elite";Pink Foam/Black;New;;212314;Midfielder;22;97;63
Veljkovic, Milos;Serbia;England;Group Stage;1;5;90;1;0;0;0;1995-09-26;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;153265;Defender;13;97;97
Mainoo, Kobbie;England;Serbia;Group Stage;1;5;4;0;1;0;0;2005-04-19;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;516895;Midfielder;26;97;9
Trippier, Kieran;England;Serbia;Group Stage;1;5;90;1;0;0;0;1990-09-19;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;77794;Defender;12;97;97
Gallagher, Conor;England;Serbia;Group Stage;1;5;21;0;1;0;0;2000-02-06;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;232787;Midfielder;16;97;26
